,polarity,tweet,nltk_texts,predicted
33,positive,fair value property portfolio double result kapiteeli acquisition total our million,<Text: The fair value of the property portfolio doubled...>,neg
34,positive,february finnish medium company sarcoma of he slav say yesterday net profit almost triple our our announce proposal raise layout,<Text: 10 February 2011 - Finnish media company Sanoma...>,neg
35,positive,helsinki elias today report es our increase es our,<Text: A Helsinki : ELIiV today reported EPS of...>,neg
36,positive,asp ply stock exchange release february at est shipping ltd part asp group sign new longterm contract rautaruukki corporation marine transport raw material baltic sea,"<Text: Aspo Plc STOCK EXCHANGE RELEASE February 11 ,...>",neg
37,positive,commission income increase our in lending volume rise,<Text: Commission income increased by 22 % to EUR...>,neut
38,positive,january traffic measure revenue passenger kilometre up go capacity measure available seat kilometre ask rise,"<Text: In January , traffic , measured in revenue...>",neg
39,positive,januaryseptember fiskar net profit go yearonyear our million net sale our million our million,"<Text: In January-September 2010 , Fiskars ' net profit...>",neg
40,positive,net income life insurance rise our in our in net income nonlife insurance our in our in,<Text: Net income from life insurance rose to EUR...>,pos
41,positive,nyrstar also agree supply talvivaara tone sulphuric acid per anna use talvivaara s reach process period supply zinc concentrate,<Text: Nyrstar has also agreed to supply to Talvivaara...>,neg
42,positive,sales department store division hobby hall increase sale clothing store subsidiary seppala decrease,<Text: Sales for both the Department Store Division and...>,neg
43,positive,sales rise export market,<Text: Sales have risen in other export markets ....>,pos
44,positive,sale increase due grow market rate increase operation,<Text: Sales increased due to growing market rates and...>,neg
45,positive,agreement strengthen longterm partnership nikita niemen network,<Text: The agreement strengthens our long-term partnership with Nokia...>,neut
46,positive,agreement sign biohit healthcare ltd upbase subsidiary biohit of finnish public company develop manufacture market liquid handling product diagnostic test system,<Text: The agreement was signed with Biohit Healthcare Ltd...>,neg
47,positive,company also estimate already carry investment lead increase net sale reach our million,<Text: The company also estimates the already carried out...>,neg
48,positive,company s order book stand ban neuro ban september put year international order amount man neuro man,<Text: The company 's order book stood at 1.5...>,neg
49,positive,company say paper demand increase main market include publication paper increase average paper price percent compare last year,<Text: The company said that paper demand increased in...>,neg
50,positive,world s second large painless steel maker say net profit threemonth period december urge neuro million us million neuro we per share neuro million neuro per share previous year,<Text: The world 's second largest stainless steel maker...>,neut
51,positive,within framework partnership nikita niemen network sign initial framework purchase agreement sitronic subsidiary be tikhon large manufacturer export microelectronic component russia,"<Text: Within the framework of the partnership , Nokia...>",neut
52,positive,seppala s revenue increase our finland revenue go our sale abroad rise our sale increase baltic country well russia ukraine,<Text: Seppala 's revenue increased by 0.2 % to...>,neg
53,positive,share standard charter stand rise fuse royal bank scotland ribs share rise barclays share bare bus,<Text: Shares of Standard Chartered ( STAN ) rose...>,neut
54,positive,share nikita rise thursday cell phone maker say thirdquarter earning almost double share global hand market increase,<Text: Shares of Nokia Corp. rose Thursday after the...>,neg
55,positive,financial report publish friday see say net profit soar see in yearearlier see in propose dividend increase see per share,"<Text: In its financial report , published on Friday...>",neut
56,positive,sales department store division increase sale clothing store subsidiary seppala increase meanwhile sale hobby hall decrease,<Text: Sales for the Department Store Division increased by...>,neg
57,neutral,request finnish medium company alma medium s newspaper research manager jar naiveoka finland future research centre turk school economic draw future scenario finland s national economy use model develop university denver,<Text: At the request of Finnish media company Alma...>,neut
58,neutral,sweden gallery accumulate see renominate sale our renominate sale,"<Text: In Sweden , Gallerix accumulated SEK denominated sales...>",neg
59,neutral,company support global customer develop new technology offer fast route product development application volume production,<Text: The company supports its global customers in developing...>,neut
60,neutral,investment place area plan expand moscow market,"<Text: When this investment is in place , Atria...>",neut
61,neutral,new agreement continuation theagreement sign early year lemminkainen group whereby cramp acquire entire construction machine fleet oflemminkainen talk of it ja pohjois some sign similar agreement say taut hauhio managing director ofcramo finland,<Text: `` The new agreement is a continuation to...>,neut
62,positive,first contract envisagez construction three ferryboat option two unit confirm total value man neuro man,<Text: At first the contract envisaged the construction of...>,neg
63,neutral,june sell percent stake nordstjernan investment group take option acquire eat s remain share,<Text: In June it sold a 30 percent stake...>,neg
64,positive,desk corporation stock exchange release desk corporation asp ply today sign agreement asp acquire share capital autotell ltd subsidiary wholly own desk,<Text: KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30...>,pos
65,positive,sonya ply stock exchange release december our billion indicate credit facility sonya sonya sign agreement oneyear indicate credit facility total our billion,<Text: Sponda Plc Stock Exchange Release 5 December 2006...>,neg
66,neutral,stock exchange announcement july aware share subscription warrant increase share capital total share subscribe aware warrant program,<Text: STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 (...>,neg
67,positive,contract cover do platform ac ce optical fate node design increase forward return path capacity transmission network,"<Text: The contract covers HDO platform , AC800 and...>",neg
68,neutral,new plant plan electricity generation capacity megawatt my heat generation capacity,<Text: The new plant is planned to have an...>,neut
69,positive,ox helsinki index put helsinki cap portfolio index put high,<Text: The OMX Helsinki 25 index was up 0.92...>,neut
70,neutral,sale growth car considerably influence tire market,"<Text: - So , the sales growth of cars...>",pos
71,neutral,maximum new share subscribe exercise b option stock option plan,"<Text: A maximum of 666,104 new shares can further...>",neg
72,neutral,result share issue number company s share increase share share capital total our,"<Text: As a result of the share issue ,...>",neut
73,neutral,finnish real estate investor sonya ply say wednesday march sign agreement dense bank as helsinki branch year our credit facility ilmarinen mutual pension insurance company year our credit facility,<Text: Finnish real estate investor Sponda Plc said on...>,neg
74,neutral,route helsinki finland talk esthonia cargo volume increase cargo volume finland sweden fall,<Text: On the route between Helsinki in Finland and...>,neg
75,neutral,measure include increase energy economy scale within grimaldi group personnel adjustment investment delivery excess tonnage,<Text: Other measures included increasing synergies and economies of...>,neg
76,positive,rinkuskiai raise sale percent million liner sales aunt anus grow percent liner,"<Text: Rinkuskiai raised the sales by 18.1 percent ,...>",neg
77,neutral,telecomworldwire april to group ply cells stake morning digital design of finnish company to group ply say friday april sign agreement selling share morning digital design of edit of,<Text: TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in...>,neut
78,neutral,new series share become subject trade helsinki stock exchange s main list together old series share july,"<Text: The 718,430 new Series A shares will become...>",neut
79,neutral,fuel purchase contract sign three month delivery september november,<Text: The fuel purchase contracts have been signed with...>,neg
80,neutral,tiimari operate store six country include core finnish market generate turnover man our,<Text: Tiimari operates 194 stores in six countries --...>,neut
81,positive,agreement biohit become focus supplier pipettor disposal pipettor tip ver customer throughout europe,<Text: Under this agreement Biohit becomes a focus supplier...>,neut
82,positive,combination service enable we offer complex strengthen service chain limit baltic port connection also get access world wide grimaldi network mediterranean africa north america say we bakosch,<Text: The combination of all services enabling us to...>,neut
83,neutral,blindspot come vantage point allow investigator see whole story high resolution unbroken video,<Text: No blind-spots coming from 1 vantage point allows...>,neut
84,positive,company still expect turnover slightly increase level add market predictability still poor trustworthy forecast market development contract manufacture business current year,<Text: The company still expects its turnover in 2010...>,neg
85,positive,acquisition considerably increase femora s sale market position russian metal industry coating market,<Text: The acquisition will considerably increase Kemira 's sales...>,neg
86,positive,januaryseptember incline net sale rise our in our in correspond period,"<Text: In January-September 2007 , Finnlines ' net sales...>",neut
87,positive,adjust change group structure division s net sale increase,"<Text: Adjusted for changes in the Group structure ,...>",neg
88,positive,change optimism operational deficiency grow business say julia prohaska director marketing communication fiskar,<Text: `` The change will optimize the operational efficiencies...>,neut
89,positive,would invest physical infrastructure would also provide knowhow manage develop science technology part say sunrise valley director andros bagdona,<Text: `` They would invest not only in the...>,neut
90,positive,february finnish broadband datum communication system provider delete of he tut see net profit jump our last quarter our period,<Text: 4 February 2011 - Finnish broadband data communication...>,neg
91,positive,finnish anti group s operating profit rise our in first quarter our in first quarter,<Text: Finnish Aktia Group 's operating profit rose to...>,neut
92,positive,finnish bank land s consolidated net operating profit increase our in first quarter our in first quarter,<Text: Finnish Bank of +_land 's consolidated net operating...>,neg
93,positive,finnish financial group anti report operate profit our in januaryseptember our in correspond period,<Text: Finnish financial group Aktia reports operating profit of...>,neut
94,positive,finnish high technology provider vaahto group report net sale our in accounting period september february increase year early,<Text: Finnish high technology provider Vaahto Group reports net...>,neg
95,positive,net sale finnish food industry company linner tehtaat s continue operation increase our in our in,<Text: Net sales of Finnish food industry company L+Ænnen...>,neg
96,positive,individual promotion also generate slightly higherthanexpecte revenue,<Text: An individual promotion also generated slightly higher-than-expected revenues...>,neut
97,positive,biohit already service many current genesis customer customer base expect expand result agreement,<Text: Biohit already services many current Genesis customers and...>,neg
98,positive,operating profit turnover threemonth period increase respectively our our compare corresponding period,<Text: Both operating profit and turnover for the three-month...>,neg
99,positive,circulation revenue increase finland sweden,<Text: Circulation revenue has increased by 5 % in...>,neg
100,positive,clothing chain septllæ s net sale increase our in,<Text: Clothing chain Sepp+Æl+Æ 's net sales increased by...>,pos
101,positive,construction volume meanwhile grow rate percent annually,<Text: Construction volumes meanwhile grow at a rate of...>,neg
102,positive,finnish swedish construction market still experience estimate annual growth,<Text: Finnish and Swedish construction markets are still experiencing...>,neut
103,positive,however biohit estimate total net sale continue grow favourable tend net sale lead profit,"<Text: However , Biohit estimates its total net sales...>",neg
104,positive,fiskar cash flow operating activity amount our our previous year,"<Text: In 2009 , Fiskars ' cash flow from...>",neut
105,positive,lithuania operating profit rise our our corresponding period,"<Text: In Lithuania , operating profit rose to EUR...>",neg
106,positive,fourth quarter net sale increase our in our in fourth quarter,"<Text: In the fourth quarter of 2008 , net...>",neg
107,positive,international sale rise our in,<Text: International sales rose by 59.8 % to EUR...>,neg
108,neutral,palmar expand generate net sale man neuro man,<Text: Kalmar Espana generated net sales of some 11.3...>,neg
109,positive,net sale grow period sac million us million sac million,<Text: Net sales grew in the period to ...>,neg
110,positive,net sale increase our april june our year early,<Text: Net sales increased to EUR655m in April to...>,neg
111,positive,net sale rise yearonyear our number charge deliver go million piece,<Text: Net sales rose by 25.5 % year-on-year to...>,neg
112,positive,net sale total our in our in correspond period,"<Text: Net sales totaled EUR 93.6 mn , up...>",neg
113,positive,nikita also note average selling price handiest decline period though mobile phone profit margin rise percent percent yearago quarter,<Text: Nokia also noted the average selling price of...>,neg
114,positive,operating profit increase our in our in,<Text: Operating profit increased by 145.1 % to EUR...>,neut
115,positive,operating profit margin increase,<Text: Operating profit margin increased from 11.2 % to...>,neut
116,positive,operating profit rise our in our in correspond period,<Text: Operating profit rose to EUR 3.11 mn from...>,neut
117,positive,operating profit rise our in our in fourth quarter,<Text: Operating profit rose to EUR 5mn from EUR...>,neut
118,positive,operating profit our in our in,"<Text: Operating profit was EUR 24.5 mn , up...>",neut
119,positive,raiment s net sale second quarterended june neuro million million percent increase compare neuro million thesecond quarter last year,<Text: Ramirent 's net sales in the second quarterended...>,neg
120,positive,revenue grow percent sac million million sac million,<Text: Revenue grew by 2 percent to  x20ac...>,pos
121,positive,ruukki announce sign agreement baker solutions norway supply suction anchor september kalajoki unit finland,<Text: Ruukki announced that it has signed an agreement...>,neg
122,positive,ruukki s delivery volume sell price show favourable development company s comparable net sale grow yearonyear our co makar tamminen say,<Text: Ruukki 's delivery volumes and selling prices showed...>,neg
123,positive,sarcoma magazine net sale estimate grow,<Text: Sanoma Magazines ' net sales are estimated to...>,neg
124,positive,bank forecast finland s gdp grow,<Text: The bank forecasts Finland 's GDP will grow...>,neut
125,positive,circuit s overall production rate weekly basis excess average tone per day volume excess tone per day reach individual day,<Text: The circuit 's overall production rate on a...>,neut
126,positive,company s consolidated operating profit amount our in our in yearonyear,<Text: The company 's consolidated operating profit amounted to...>,neut
127,positive,department store division report increase sale per cent,<Text: The Department Store Division reported an increase in...>,neg
128,positive,fair value company s investment property grow our billion end march our million year ago,<Text: The fair value of the company 's investment...>,neg
129,positive,last quarter good quarter net sale operating margin rise,<Text: The last quarter was the best quarter of...>,neg
130,positive,major reverie increase domestic beer sale per cent last year million litre million litre,<Text: The major breweries increased their domestic beer sales...>,neg
131,positive,transaction double tecnomens workforce add fourth net sale,"<Text: The transaction doubles Tecnomens workforse , and adds...>",neg
132,positive,operating profit rise our million,<Text: - Operating profit rose by 26.9 % to...>,neut
133,positive,purchase cramp become second large rental service provider latvia market,"<Text: `` After this purchase , Cramo will become...>",neg
134,positive,priority strengthen company s balance sheet increase cash flow co hanna rook say,<Text: `` The priority for 2009 was to strengthen...>,neut
135,positive,purchase operation part it s strategy expand offer building system service geographical,<Text: `` The purchase of the operations is part...>,neut
136,positive,october finnish fishing tackle company ranula my corps he rapp say today net profit rise our first nine month our period year early,<Text: 21 October 2010 - Finnish fishing tackle company...>,neg
137,neutral,structure he build information model software tell modelbase software provider adopt construction management delivery university project au habit,<Text: A structures BIM ( building information modeling )...>,neut
138,positive,accord finnish meet mineral value company s order go our in month,"<Text: According to Finnish Metso Minerals , the value...>",neg
139,positive,finnish datum solution sign contract supply system two french retail chain,<Text: Finnish Aldata Solution has signed a contract of...>,neg
140,positive,finnish bank land report operate profit rise our in second quarter our in correspond period,<Text: Finnish Bank of +_land reports its operating profit...>,neut
141,positive,finnish financial group anti s operate profit increase our in our in,<Text: Finnish financial group Aktia 's operating profit for...>,neut
142,positive,finnish forest machinery manufacturer pose s net sale grow our in first quarter our in correspond period,<Text: Finnish forest machinery manufacturer Ponsse 's net sales...>,neg
143,positive,finnish ici konecrane raise net sale growth estimate,<Text: Finnish KCI Konecranes has raised its net sales...>,neg
144,positive,finnish mimetic manufacture process silicon wafer semiconductor senior industry norwegian solar water company dorsum sign contract mimetic supply dorsum mon silicon crystal use solar cell manufacturing,<Text: Finnish Okmetic that manufactures and processes silicon wafers...>,neg
145,positive,finnish pharmaceutical company onion s net sale rise our in first quarter our in first quarter,<Text: Finnish pharmaceuticals company Orion 's net sales rose...>,neg
146,positive,finnish pose sign agreement babcock africa distribution support pose forest machine harvest head information system south africa,<Text: Finnish Ponsse has signed an agreement with Babcock...>,neut
147,positive,south african sappy become large foreign forest industry company operate finland result acquisition finnish mreal corporation s graphic paper business unit,<Text: South African Sappi will become the largest foreign...>,neut
148,positive,accord deputy md petya silvennoinen aim double turnover next three year,<Text: According to Deputy MD Pekka Silvennoinen the aim...>,neut
149,positive,accord scan finland plan increase jvisome port s net sale our in our in,"<Text: According to HKScan Finland , the plan is...>",neg
150,positive,advertising circulation revenue grow respectively,<Text: Advertising and circulation revenues grew by 3.4 %...>,neg
151,positive,takeover cramp become second large rental service provider latvia market,"<Text: After the takeover , Cramo will become the...>",neg
152,positive,significant sale increase russia,"<Text: Again , the most significant sales increase of...>",neg
153,positive,alma medium expect net sale increase forecast previously,<Text: Alma Media expects its net sales to increase...>,neg
154,positive,also lemminklinen s profit accounting period go our in our in year ago,<Text: Also Lemmink+Æinen 's profit for accounting period went...>,neut
155,positive,end march group s order book our in correspond period,"<Text: At the end of March 2007 , the...>",neg
156,positive,time profit company increase h reach be,<Text: At the same time profit of the company...>,neg
157,neutral,aviation system maintenance base kansas generate net sale we million,<Text: Aviation Systems Maintenance is based in Kansas and...>,pos
158,positive,besides increase share meat various sausage offer number new taste drill product swish kebab segment travel say,<Text: Besides we have increased the share of meat...>,neut
159,positive,operate profit net sale month period increase respectively our our compare financial year,<Text: Both operating profit and net sales for the...>,neg
160,positive,operate profit net sale month period increase respectively our our compare,<Text: Both operating profit and net sales for the...>,neg
161,positive,operate profit net sale ninemonth period increase respectively compare corresponding period,<Text: Both operating profit and net sales for the...>,neg
162,positive,operate profit net sale sixmonth period increase respectively our our compare corresponding period,<Text: Both operating profit and net sales for the...>,neg
163,positive,operate profit net sale threemonth period increase respectively our our compare corresponding period,<Text: Both operating profit and net sales for the...>,neg
164,positive,operate profit net sale threemonth period increase respectively our our compare corresponding quarter,<Text: Both operating profit and net sales for the...>,neg
165,positive,operate profit sale threemonth period increase respectively our our compare corresponding period,<Text: Both operating profit and sales for the three-month...>,neg
166,positive,operating profit turnover ninemonth period increase respectively our our compare corresponding period year ago,<Text: Both operating profit and turnover for the nine-month...>,neg
167,positive,operating profit turnover sixmonth period increase respectively our our compare corresponding period,<Text: Both operating profit and turnover for the six-month...>,neg
168,positive,operating profit turnover sixmonth period increase respectively our our compare corresponding period year ago,<Text: Both operating profit and turnover for the six-month...>,neg
169,positive,cargo volume grow,<Text: Cargo volume grew by 7 % ....>,neut
170,positive,cargo volume increase approximately,<Text: Cargo volume increased by approximately 5 % ....>,neg
171,positive,comparable operating profit total our in our in,"<Text: comparable operating profit totaled EUR 854mn , up...>",neut
172,positive,digit say consolidated net sale januaryjune our period our,<Text: Digia said its consolidated net sales for January-June...>,neg
173,positive,diluted earning per share es rise our our,<Text: Diluted earnings per share ( EPS ) rose...>,neut
174,positive,diluted earning per share es rise our versus our,<Text: Diluted earnings per share ( EPS ) rose...>,neut
175,positive,diluted es rise our our,<Text: Diluted EPS rose to EUR3 .68 from EUR0...>,pos
176,positive,bit margin,<Text: EBIT margin was up from 1.4 % to...>,neut
177,neutral,editor s note grimaldi generate ban neuro ban turnover anna report may,<Text: Editor 's note : Grimaldi generated a 1.7...>,neg
178,positive,es quarter our compare our third quarter represent group net sale third quarter our compare our third quarter,"<Text: EPS for the quarter was EUR0 .00 ,...>",neg
179,positive,es continue operation come our,<Text: EPS from continuing operations came in at 0.30...>,pos
180,positive,equity ratio compare third quarter net sale freeze food business total our third quarter,<Text: Equity ratio was 60.9 % compared to 54.2...>,neg
181,positive,our q may finnish textile clothing design company marimekko of he move say today net profit rise our first quarter our corresponding period year early,"<Text: EUR928 ,000 in Q1 2010 6 May 2010...>",neg
182,positive,finlandbase elcoteq se privately hold provider electronic manufacturing service communication company say thursday sign longterm manufacture supply deal communication equipment company andrew,"<Text: Finland-based Elcoteq SE , a privately held provider...>",neg
183,positive,finnish cutlery hand tool maker fiskar of abe he fist say today net profit rise our million we third quarter our million year early,<Text: Finnish cutlery and hand tools maker Fiskars Oyj...>,neg
184,positive,finnish department store chain stockman of abe net profit rise man neuro man first nine month man neuro man period,<Text: Finnish department store chain Stockmann Oyj Abp net...>,neg
185,positive,finnish lifting equipment maker konecrane of say july net profit rise man neuro man first half man neuro man period,<Text: Finnish lifting equipment maker Konecranes Oyj said on...>,neg
186,positive,finnish essay solution developer tecnomen corporation ox helsinki they say thursday december receive expansion order convenient charge solution latin america,<Text: Finnish messaging solutions developer Tecnomen Corporation ( OMX...>,neut
187,positive,finnish metal industry solution supplier outotec of net profit rise man neuro man first nine month man neuro man period,<Text: Finnish metal industry solutions supplier Outotec Oyj net...>,neut
188,positive,finnish metal product company component of net profit rise man neuro man first quarter man neuro man period,<Text: Finnish metal products company Componenta Oyj net profit...>,neg
189,positive,finnish office supply computer accessory dealer buttongroup ply say net profit rise man neuro man man neuro man,<Text: Finnish office supplies and computer accessories dealer Beltton-Group...>,neut
190,positive,finnish security privacy software solution developer stonesoft of say january preliminary sale stonegate product grow put yearonyear man neuro man fourth quarter,<Text: Finnish security and privacy software solutions developer Stonesoft...>,neut
191,positive,finnish silicon water technology company mimetic of ox helsinki okay report thursday august operating profit our period januaryjune our corresponding period,<Text: Finnish silicon wafer technology company Okmetic Oyj (...>,neut
192,positive,finnish software developer do solution of say net profit increase man neuro man man neuro man,<Text: Finnish software developer Done Solutions Oyj said its...>,neut
193,positive,first quarter underlie operating profit rise man our man year early,<Text: First quarter underlying operating profit rose to 41...>,neut
194,positive,follow acquisition relacom strengthen presence finland serve operator office market mobile fix network construction installation maintenance service,"<Text: Following the acquisition , Relacom will strengthen its...>",neut
195,positive,first nine month company s net profit rise our our corresponding period,"<Text: For the first nine months of 2010 ,...>",neg
196,positive,helsinki ax retail wholesale group desk report net sale man our february increase put yearonyear,<Text: HELSINKI ( AFX ) - Retail and wholesale...>,neg
197,positive,however net sale see grow our our,"<Text: However , net sales in 2010 are seen...>",neg
198,positive,however sale return growth apriljune co petya eloholma say,"<Text: However , sales returned to growth in April-June...>",neg
199,positive,ragutis control finnish brewery report percent rise beer sale million litre hold percent market share,"<Text: Ragutis , which is controlled by the Finnish...>",neg
200,positive,svyturystend anus control sordid group baltic beverage hold bah post percent growth beer sale januarymay million litre,"<Text: Svyturys-Utenos Alus , which is controlled by the...>",neut
201,neutral,contempt generate revenue not approve,"<Text: In 2007 , Contempus generated revenue of NOK...>",neut
202,positive,addition one sign twoyear maintenance contract escalator,"<Text: In addition , Kone signed a two-year maintenance...>",pos
203,positive,december alone member lithuania brewery association sell total million liner beer increase percent sale million liner december,"<Text: In December alone , the members of the...>",neg
204,positive,januaryseptember group s net interest income increase our in our in januaryseptember,"<Text: In January-September 2009 , the Group 's net...>",neut
205,positive,q bank land s net interest income increase our in our in,"<Text: In Q1 of 2010 , Bank of +_land...>",neut
206,positive,sweden operating profit period review total our in correspond period,"<Text: In Sweden , operating profit for the period...>",neg
207,positive,fourth quarter onion s net profit go yearonyear our,"<Text: In the fourth quarter of 2009 , Orion...>",neg
208,positive,second quarter group s net profit rise our million our million apriljune,"<Text: In the second quarter of 2010 , the...>",neg
209,positive,second quarter group s net profit rise our our apriljune,"<Text: In the second quarter of 2010 , the...>",neg
210,positive,third quarter net sale increase yearonyear our million comparable currency rate growth,"<Text: In the third quarter , net sales increased...>",neg
211,positive,third quarter net sale increase yearonyear our comparable currency rate growth,"<Text: In the third quarter , net sales increased...>",neg
212,neutral,cap estimate generate revenue man neuro man indian operation,<Text: Incap estimates it will generate a revenue of...>,neg
213,positive,market share widen percent percent year early,<Text: Its market share widened to 48.51 percent from...>,neg
214,neutral,total annual revenue come man clot man man neuro,<Text: Its total annual revenue comes up to about...>,neut
215,positive,desk ago west retailer wholesale grain agricultural warehousing machinery accessorie net sale million europe increase onetenth preceding year,"<Text: Kesko Agro Eesti , the retailer and wholesaler...>",pos
216,positive,desk s car import retailing business veauto see sale grow put,"<Text: Kesko 's car import and retailing business ,...>",pos
217,positive,one s net sale rise yearonyear first nine month,<Text: Kone 's net sales rose by some 14...>,neg
218,positive,add news feb finnish management software solution provider icon of he xiv say today net profit rise our million we our million,"<Text: ( ADP News ) - Feb 11 ,...>",neut
219,positive,add news feb finnish solution provider affect of he be say today net profit rise our million we m our million,"<Text: ( ADP News ) - Feb 12 ,...>",neut
220,positive,add news feb finnish fishing tackle company ranula my corps he rapp say today net profit rise our million we our million,"<Text: ( ADP News ) - Feb 6 ,...>",neg
221,positive,add news nov finnish electronic measurement product solution maker vassal of ox vein say today net profit rise our million we first nine month our,"<Text: ( ADP News ) - Nov 5 ,...>",neut
222,positive,add news oct finnish lifting equipment maker konecrane of ox cry say today net profit rise our million we first nine month our million,"<Text: ( ADP News ) - Oct 29 ,...>",neut
223,positive,meet expect net sale increase comparable exchange rate,<Text: Metso expects its net sales to increase by...>,neg
224,neutral,mreal generate turnover our in employee,<Text: M-real generated a turnover of EUR5 .6 bn...>,neut
225,positive,nest oil sign longterm procurement contract honkajoki of fine protein of own finnish food manufacturer supply animal fat biodiesel production nest s bd porto finland refine,<Text: Neste Oil Corp. has signed long-term procurement contracts...>,neut
226,positive,net interest income increase our in our in,<Text: Net interest income increased by 4.5 % to...>,neut
227,positive,net interest income our in our in,"<Text: Net interest income was EUR 152.2 mn ,...>",neut
228,positive,net sale vegetable oil business rise our in our in,<Text: Net sales of the Vegetable Oil Business rose...>,pos
229,positive,nikita multimedia s net sale total our in correspond period,<Text: Nokia Multimedia 's net sales totaled EUR 5.7...>,neg
230,positive,operating income rise our in our in,<Text: Operating income rose to EUR 696.4 mn from...>,neut
231,positive,operating profit kauppalehti group rise our in our in marketplace our in our in third quarter,<Text: Operating profit of Kauppalehti group rose to EUR...>,neut
232,positive,operating profit rise our in our in,<Text: Operating profit rose from EUR 1.94 mn to...>,neut
